evaluador,nombre,tipo,n,media_seg,std_seg,mediana_seg,q1_seg,q3_seg,min_seg,max_seg,total_seg
E5,E5,ai,101,0.46624469545555025,0.18340656681400755,0.4194510320012341,0.3339242000001832,0.5506165869992401,0.16442737800025498,1.2312696320004761,47.09071424101057
E6,E6,ai,101,0.42544752930689805,0.1481104495926327,0.36691724400043313,0.3243043670008774,0.5021032799995737,0.2469018589999905,1.2874017519989138,42.970200459996704
E7,E7,ai,101,0.07116262245553215,0.028820705789053082,0.06284292100008315,0.050852083000791026,0.08603097200011689,0.03583739400073682,0.20304971499990643,7.187424868008748
ModeloEspecialista,ModeloEspecialista,ai,101,0.9346920895840601,0.8641232653352485,0.6357869519997621,0.39126347800629446,1.1760905039991485,0.17711669599520974,5.87794478199794,94.40390104799008
Usuario_Control,Usuario Control,human,101,32.94447524752475,20.674754639842867,29.566,16.829,41.879,5.24,112.312,3327.392
R1_Radiologia,R1 Radiologia,human,101,30.432772277227723,31.681864630619437,20.956,14.115,31.543,5.959,196.93,3073.71
Experto_Radiologo,Experto Radiologo,human,101,54.77618811881187,44.11044543517288,42.666,27.986,65.278,7.181,316.726,5532.3949999999995
