evaluador,nombre,tipo,image_index,lead_time_seg
E5,E5,ai,1,0.5506165869992401
E5,E5,ai,2,0.21956650399806676
E5,E5,ai,3,0.2801808570002322
E5,E5,ai,4,0.42131973299910896
E5,E5,ai,5,0.362957721001294
E5,E5,ai,6,0.29326530500111403
E5,E5,ai,7,0.3181433850004396
E5,E5,ai,8,0.28587803799746325
E5,E5,ai,9,0.4929562300021644
E5,E5,ai,10,0.3113780940002471
E5,E5,ai,11,0.41793648000020767
E5,E5,ai,12,0.22107567499915604
E5,E5,ai,13,0.2216642210005375
E5,E5,ai,14,0.34503328700157
E5,E5,ai,15,0.3750030629998946
E5,E5,ai,16,0.3207877879976877
E5,E5,ai,17,0.21754817299733986
E5,E5,ai,18,0.16442737800025498
E5,E5,ai,19,0.21494077000170364
E5,E5,ai,20,0.25844044699988444
E5,E5,ai,21,0.35995454200019594
E5,E5,ai,22,0.30501854400063166
E5,E5,ai,23,0.48762781100231223
E5,E5,ai,24,0.26445933600189164
E5,E5,ai,25,0.27118316999985836
E5,E5,ai,26,0.43519509299949277
E5,E5,ai,27,0.5751299549992837
E5,E5,ai,28,0.3245724189982866
E5,E5,ai,29,0.4280530850010109
E5,E5,ai,30,0.39757972200095537
E5,E5,ai,31,0.5447027919981338
E5,E5,ai,32,0.35068717600006494
E5,E5,ai,33,0.299616011998296
E5,E5,ai,34,0.488198350998573
E5,E5,ai,35,0.540129363998858
E5,E5,ai,36,0.6163103079998109
E5,E5,ai,37,0.27419730100154993
E5,E5,ai,38,0.448249417997431
E5,E5,ai,39,0.30110993000198505
E5,E5,ai,40,0.5847332140001527
E5,E5,ai,41,0.3096927410006174
E5,E5,ai,42,0.3539359960013826
E5,E5,ai,43,0.2986547940017772
E5,E5,ai,44,0.578325627000595
E5,E5,ai,45,0.5457863850024296
E5,E5,ai,46,0.34505742200053646
E5,E5,ai,47,0.490055153000867
E5,E5,ai,48,0.4194510320012341
E5,E5,ai,49,0.7690758729986555
E5,E5,ai,50,0.35243426600209204
E5,E5,ai,51,0.3494862550032849
E5,E5,ai,52,0.3394466299978376
E5,E5,ai,53,0.36276901599921985
E5,E5,ai,54,0.3951362320003682
E5,E5,ai,55,0.3839133319997927
E5,E5,ai,56,0.4162283660007233
E5,E5,ai,57,0.4026322449972213
E5,E5,ai,58,0.46649257600074634
E5,E5,ai,59,0.310654044002149
E5,E5,ai,60,0.5796874540028512
E5,E5,ai,61,0.5475849079994077
E5,E5,ai,62,0.3132714239982306
E5,E5,ai,63,0.41531926300012856
E5,E5,ai,64,0.5444633070001146
E5,E5,ai,65,0.6751955940017069
E5,E5,ai,66,0.3103666550014168
E5,E5,ai,67,0.3548382059998403
E5,E5,ai,68,0.366909347998444
E5,E5,ai,69,0.9434982510028931
E5,E5,ai,70,0.672893135000777
E5,E5,ai,71,0.7000106769992271
E5,E5,ai,72,0.822884132998297
E5,E5,ai,73,0.7295723239985819
E5,E5,ai,74,0.3862047619986697
E5,E5,ai,75,0.3602002710031229
E5,E5,ai,76,0.6406795919974684
E5,E5,ai,77,0.6365901169992867
E5,E5,ai,78,0.3339242000001832
E5,E5,ai,79,0.7037004360026913
E5,E5,ai,80,0.6237710480017995
E5,E5,ai,81,0.5272835770010715
E5,E5,ai,82,0.5327767870003299
E5,E5,ai,83,0.4769973830007075
E5,E5,ai,84,0.5438011299993377
E5,E5,ai,85,0.8323079829970084
E5,E5,ai,86,0.4193660140008433
E5,E5,ai,87,0.45255511999857845
E5,E5,ai,88,0.8631976760007092
E5,E5,ai,89,0.809522105002543
E5,E5,ai,90,0.7319788269996934
E5,E5,ai,91,1.2312696320004761
E5,E5,ai,92,0.7883531359984772
E5,E5,ai,93,0.7350931740002125
E5,E5,ai,94,0.5411966350002331
E5,E5,ai,95,0.43920624400197994
E5,E5,ai,96,0.587030271999538
E5,E5,ai,97,0.42679773599957116
E5,E5,ai,98,0.4854090820008423
E5,E5,ai,99,0.4919483509984275
E5,E5,ai,100,0.6227338209973823
E5,E5,ai,101,0.4112691869995615
E6,E6,ai,1,1.2874017519989138
E6,E6,ai,2,0.3079260160011472
E6,E6,ai,3,0.4754153760004556
E6,E6,ai,4,0.9355385910002951
E6,E6,ai,5,0.5945795150000777
E6,E6,ai,6,0.3133627239985799
E6,E6,ai,7,0.35298834500099474
E6,E6,ai,8,0.35090672700061987
E6,E6,ai,9,0.6061920030006149
E6,E6,ai,10,0.49140811299912457
E6,E6,ai,11,0.5208993699998246
E6,E6,ai,12,0.3658841159995063
E6,E6,ai,13,0.3418821699997352
E6,E6,ai,14,0.4993750329995237
E6,E6,ai,15,0.5473289110013866
E6,E6,ai,16,0.4841588640010741
E6,E6,ai,17,0.36525792499924137
E6,E6,ai,18,0.2469018589999905
E6,E6,ai,19,0.2868704529992101
E6,E6,ai,20,0.2914941950002685
E6,E6,ai,21,0.309957673000099
E6,E6,ai,22,0.27628927899968403
E6,E6,ai,23,0.49408858900096675
E6,E6,ai,24,0.28863681000075303
E6,E6,ai,25,0.2859756750003726
E6,E6,ai,26,0.39128005400016264
E6,E6,ai,27,0.5203734540009464
E6,E6,ai,28,0.3244578569992882
E6,E6,ai,29,0.437406003000433
E6,E6,ai,30,0.4125413820001995
E6,E6,ai,31,0.4990598130007129
E6,E6,ai,32,0.33748414399997273
E6,E6,ai,33,0.3667441540001164
E6,E6,ai,34,0.5439669389998016
E6,E6,ai,35,0.4588789760000509
E6,E6,ai,36,0.5316913229999045
E6,E6,ai,37,0.29661181600022246
E6,E6,ai,38,0.5089497199987818
E6,E6,ai,39,0.33533211299982213
E6,E6,ai,40,0.5910137400005624
E6,E6,ai,41,0.3111906079993787
E6,E6,ai,42,0.38129603100060194
E6,E6,ai,43,0.3243043670008774
E6,E6,ai,44,0.6108379050001531
E6,E6,ai,45,0.5218506920009531
E6,E6,ai,46,0.3574149229989416
E6,E6,ai,47,0.5044695350006805
E6,E6,ai,48,0.33395227300025
E6,E6,ai,49,0.44503409099888813
E6,E6,ai,50,0.3167263989998901
E6,E6,ai,51,0.32222665200060874
E6,E6,ai,52,0.33212591300070926
E6,E6,ai,53,0.3375229310004215
E6,E6,ai,54,0.34536683699843707
