,yoloV8n_optA,yoloV8m_optA,yoloV11n_optA,Usuario_Control,Usuario_R1,Usuario_Catedratico
yoloV8n_optA,1.0000,0.9287,0.9076,0.6886,0.7318,0.7857
yoloV8m_optA,0.9287,1.0000,0.9087,0.6924,0.7662,0.8195
yoloV11n_optA,0.9076,0.9087,1.0000,0.6584,0.7539,0.7918
Usuario_Control,0.6886,0.6924,0.6584,1.0000,0.7298,0.6667
Usuario_R1,0.7318,0.7662,0.7539,0.7298,1.0000,0.7700
Usuario_Catedratico,0.7857,0.8195,0.7918,0.6667,0.7700,1.0000
