,E5,E6,E7,ModeloEspecialista,Usuario Control,R1 Radiologia,Experto Radiologo
E5,1.0000,0.8101,0.8245,0.8055,0.5242,0.6089,0.6211
E6,0.8101,1.0000,0.9087,0.8812,0.5922,0.6828,0.7623
E7,0.8245,0.9087,1.0000,0.8850,0.5789,0.6754,0.7239
ModeloEspecialista,0.8055,0.8812,0.8850,1.0000,0.5784,0.5968,0.7220
Usuario Control,0.5242,0.5922,0.5789,0.5784,1.0000,0.6595,0.6237
R1 Radiologia,0.6089,0.6828,0.6754,0.5968,0.6595,1.0000,0.6898
Experto Radiologo,0.6211,0.7623,0.7239,0.7220,0.6237,0.6898,1.0000
