,E5,E6,E7,ModeloEspecialista,Usuario Control,R1 Radiologia,Experto Radiologo
E5,1.0000,0.8150,0.8395,0.8104,0.7176,0.7844,0.7702
E6,0.8150,1.0000,0.9087,0.8920,0.7611,0.8446,0.8663
E7,0.8395,0.9087,1.0000,0.8958,0.7379,0.8431,0.8233
ModeloEspecialista,0.8104,0.8920,0.8958,1.0000,0.7461,0.8011,0.8235
Usuario Control,0.7176,0.7611,0.7379,0.7461,1.0000,0.7785,0.7366
R1 Radiologia,0.7844,0.8446,0.8431,0.8011,0.7785,1.0000,0.8075
Experto Radiologo,0.7702,0.8663,0.8233,0.8235,0.7366,0.8075,1.0000
